model,type,capability,connectivities,apps,power_supplies
Cisco Catalyst 9200,Switch,Class 2,Ethernet,,Plug
Juniper EX3300,Switch,Class 2,Ethernet,,Plug
Netgear ProSAFE GS728TP,Switch,Class 2,Ethernet,,Plug
TP-Link TL-SG105,Switch,Class 2,Ethernet,,Plug
Ubiquiti UniFi 8,Switch,Class 2,Ethernet,,Plug
Ubiquiti M2,Bridge,Class 2,Wi-Fi; Ethernet,,Plug
TP-Link TL-WA850RE,Bridge,Class 2,Wi-Fi; Ethernet,,Plug
EnGenius ENS202EXT,Bridge,Unconstrained,Wi-Fi; Ethernet,,Plug
Linksys SE3008,Bridge,Class 2,Wi-Fi; Ethernet,,Plug
D-Link DAP-1610,Bridge,Class 2,Wi-Fi; Ethernet,,Plug
TP-Link RE450,Repeater,Class 2,Wi-Fi; Ethernet,,Plug
Netgear EX6120,Repeater,Class 2,Wi-Fi; Ethernet,,Plug
Linksys RE7000,Repeater,Class 2,Wi-Fi; Ethernet,,Plug
D-Link DAP-1650,Repeater,Class 2,Wi-Fi; Ethernet,,Plug
Asus RP-AC68U,Repeater,Class 2,Wi-Fi; Ethernet,,Plug
Linksys WRT54G,Modern,Unconstrained,Wi-Fi; Ethernet,,Plug
Netgear WGR614,Modern,Unconstrained,Wi-Fi; Ethernet,,Plug
D-Link DIR-655,Modern,Unconstrained,Wi-Fi; Ethernet,,Plug
Belkin F5D7230-4,Modern,Unconstrained,Wi-Fi; Ethernet,,Plug
Cisco Valet M10,Modern,Unconstrained,Wi-Fi; Ethernet,,Plug
Cisco Meraki MX68,Gateway,Unconstrained,Wi-Fi; Ethernet,,Plug
Ubiquiti UniFi Security Gateway,Gateway,Unconstrained,Wi-Fi; Ethernet,,Plug
Zyxel USG40,Gateway,Unconstrained,Wi-Fi; Ethernet,,Plug
Juniper SRX300,Gateway,Unconstrained,Wi-Fi; Ethernet,,Plug
Peplink Balance 20,Gateway,Unconstrained,Wi-Fi; Ethernet,,Plug
Palo Alto PA-220,Firewall,Unconstrained,Ethernet,,Plug
Cisco Firepower 1010,Firewall,Unconstrained,Ethernet,,Plug
Fortinet FortiGate 60E,Firewall,Unconstrained,Ethernet,,Plug
SonicWall TZ300,Firewall,Unconstrained,Ethernet,,Plug
Forcepoint NGFW 1101,Firewall,Unconstrained,Ethernet,,Plug
Aqara Water Leak Sensor,Low-End Sensor,Class 1,ZigBee,Aqara Home,Battery
Samsung SmartThings Motion Sensor,Low-End Sensor,Class 1,ZigBee,SmartThings,Battery
Philips Hue Motion Sensor,Low-End Sensor,Class 1,ZigBee,Philips Hue,Battery
Fibaro Flood Sensor,Low-End Sensor,Class 1,Z-Wave,Fibaro Home Center,Battery
Elgato Eve Room,Low-End Sensor,Class 1,Bluetooth,Eve,Battery
Nest Temperature Sensor,High-End Sensor,Class 2,ZigBee,Nest,Battery
Honeywell Home T9,High-End Sensor,Class 2,,Honeywell Home,Battery
Ecobee SmartSensor,High-End Sensor,Class 2,,Ecobee,Battery
Netatmo Smart Indoor Air Quality Monitor,High-End Sensor,Class 2,Wi-Fi,Google Home; Amazon Alexa; Apple HomeKit; Netatmo,Battery
Bosch Smart Home Motion Detector,High-End Sensor,Class 2,ZigBee,Bosch Smart Home,Battery
Philips Hue White and Color Ambiance,Smart Bulb,Class 2,ZigBee,Google Home; Amazon Alexa; Philips Hue; Apple HomeKit,Plug
LIFX Color A19,Smart Bulb,Class 2,Wi-Fi,Google Home; Amazon Alexa; Apple HomeKit; LIFX,Plug
Sengled Smart LED,Smart Bulb,Class 2,Wi-Fi,Google Home; Amazon Alexa; Sengled,Plug
TP-Link Smart LED,Smart Bulb,Class 2,Wi-Fi,Google Home; Amazon Alexa; Kasa Smart,Plug
Wyze Bulb Color,Smart Bulb,Class 2,Wi-Fi,Google Home; Amazon Alexa; Wyze,Plug
Cisco ISR 4331,Router,Unconstrained,Wi-Fi; Ethernet,,Plug
Netgear Nighthawk X10,Router,Unconstrained,Wi-Fi; Ethernet,,Plug
Asus RT-AC88U,Router,Unconstrained,Wi-Fi; Ethernet,,Plug
TP-Link Archer C5400,Router,Unconstrained,Wi-Fi; Ethernet,,Plug
Linksys WRT3200ACM,Router,Unconstrained,Wi-Fi; Ethernet,,Plug
Ring Alarm Pro,Smart Security Alarm,Unconstrained,Wi-Fi; Bluetooth; Z-Wave; ZigBee; 3G; 4G,Amazon Alexa; Ring,Plug
SimpliSafe 9,Smart Security Alarm,Unconstrained,Wi-Fi,Google Home; Amazon Alexa; SimpliSafe,Plug
ADT Command,Smart Security Alarm,Unconstrained,Wi-Fi; Z-Wave,ADT Control,Plug
Abode Iota,Smart Security Alarm,Unconstrained,Wi-Fi; Bluetooth; Z-Wave; ZigBee,Google Home; Amazon Alexa; Abode,Plug
Nest Secure,Smart Security Alarm,Unconstrained,Wi-Fi,Google Home; Nest,Plug
Arlo Pro 4,Smart Security IP Camera,Class 2,Wi-Fi,Google Home; Amazon Alexa; Apple HomeKit; Arlo,Battery
Ring Stick Up Cam,Smart Security IP Camera,Class 2,Wi-Fi,Ring,Battery; Plug
Nest Cam IQ,Smart Security IP Camera,Class 2,Wi-Fi,Google Home; Nest,Plug
Wyze Cam v3,Smart Security IP Camera,Class 2,Wi-Fi,Wyze,Plug
Blink Outdoor,Smart Security IP Camera,Class 2,Wi-Fi,Blink Home Monitor,Cell
LG Smart InstaView Refrigerator,Smart Appliance,Class 2,Wi-Fi,Google Home; Amazon Alexa; LG SmartThinQ,Plug
Samsung Family Refrigerator,Smart Appliance,Class 2,Wi-Fi,SmartThings; Google Home; Amazon Alexa; Samsung Family,Plug
Whirlpool Smart Dishwasher,Smart Appliance,Class 2,Wi-Fi,Google Home; Amazon Alexa; Whirlpool,Plug
GE Profile Smart Oven,Smart Appliance,Class 2,Wi-Fi,Google Home; Amazon Alexa; GE Appliances Kitchen,Plug
Bosch 800 Series Dishwasher,Smart Appliance,Class 2,Wi-Fi,Google Home; Amazon Alexa; Home Connect,Plug
Samsung QLED Q80T,Smart TV,Unconstrained,Wi-Fi; Bluetooth,SmartThings; Google Home; Amazon Alexa,Plug
LG OLED CX,Smart TV,Unconstrained,Wi-Fi; Bluetooth,Google Home; Amazon Alexa; LG SmartThinQ,Plug
Sony Bravia X900H,Smart TV,Unconstrained,Wi-Fi; Bluetooth,Google Home; Amazon Alexa,Plug
Vizio P-Series Quantum X,Smart TV,Unconstrained,Wi-Fi; Bluetooth,Google Home; Amazon Alexa,Plug
