Timestamp,Request Filename,Response Filename,Response Time (s)
2024-07-16_15-01-24,USABILITY_115-20\request_2024-07-16_15-01-24.json,USABILITY_115-20\response_2024-07-16_15-01-24.json,0.29532885551452637
2024-07-16_15-01-25,USABILITY_115-20\request_2024-07-16_15-01-25.json,USABILITY_115-20\response_2024-07-16_15-01-25.json,0.31873178482055664
2024-07-16_15-01-27,USABILITY_115-20\request_2024-07-16_15-01-27.json,USABILITY_115-20\response_2024-07-16_15-01-27.json,0.2915043830871582
2024-07-16_15-01-28,USABILITY_115-20\request_2024-07-16_15-01-28.json,USABILITY_115-20\response_2024-07-16_15-01-28.json,0.4354832172393799
2024-07-16_15-01-29,USABILITY_115-20\request_2024-07-16_15-01-29.json,USABILITY_115-20\response_2024-07-16_15-01-29.json,0.2995150089263916
2024-07-16_15-01-30,USABILITY_115-20\request_2024-07-16_15-01-30.json,USABILITY_115-20\response_2024-07-16_15-01-30.json,0.29042863845825195
2024-07-16_15-01-31,USABILITY_115-20\request_2024-07-16_15-01-31.json,USABILITY_115-20\response_2024-07-16_15-01-31.json,0.2998065948486328
2024-07-16_15-01-32,USABILITY_115-20\request_2024-07-16_15-01-32.json,USABILITY_115-20\response_2024-07-16_15-01-32.json,0.34758734703063965
2024-07-16_15-01-34,USABILITY_115-20\request_2024-07-16_15-01-34.json,USABILITY_115-20\response_2024-07-16_15-01-34.json,0.3057858943939209
2024-07-16_15-01-35,USABILITY_115-20\request_2024-07-16_15-01-35.json,USABILITY_115-20\response_2024-07-16_15-01-35.json,0.30672550201416016
2024-07-16_15-01-36,USABILITY_115-20\request_2024-07-16_15-01-36.json,USABILITY_115-20\response_2024-07-16_15-01-36.json,0.3342630863189697
2024-07-16_15-01-37,USABILITY_115-20\request_2024-07-16_15-01-37.json,USABILITY_115-20\response_2024-07-16_15-01-37.json,0.309511661529541
2024-07-16_15-01-38,USABILITY_115-20\request_2024-07-16_15-01-38.json,USABILITY_115-20\response_2024-07-16_15-01-38.json,0.32009315490722656
2024-07-16_15-01-39,USABILITY_115-20\request_2024-07-16_15-01-39.json,USABILITY_115-20\response_2024-07-16_15-01-39.json,0.33188939094543457
2024-07-16_15-01-41,USABILITY_115-20\request_2024-07-16_15-01-41.json,USABILITY_115-20\response_2024-07-16_15-01-41.json,0.30660271644592285
2024-07-16_15-01-42,USABILITY_115-20\request_2024-07-16_15-01-42.json,USABILITY_115-20\response_2024-07-16_15-01-42.json,0.290496826171875
2024-07-16_15-01-43,USABILITY_115-20\request_2024-07-16_15-01-43.json,USABILITY_115-20\response_2024-07-16_15-01-43.json,0.4011693000793457
2024-07-16_15-01-44,USABILITY_115-20\request_2024-07-16_15-01-44.json,USABILITY_115-20\response_2024-07-16_15-01-44.json,0.31102943420410156
2024-07-16_15-01-45,USABILITY_115-20\request_2024-07-16_15-01-45.json,USABILITY_115-20\response_2024-07-16_15-01-45.json,0.3490183353424072
2024-07-16_15-01-46,USABILITY_115-20\request_2024-07-16_15-01-46.json,USABILITY_115-20\response_2024-07-16_15-01-46.json,0.3228151798248291
2024-07-16_15-01-48,USABILITY_115-20\request_2024-07-16_15-01-48.json,USABILITY_115-20\response_2024-07-16_15-01-48.json,0.45313549041748047
2024-07-16_15-01-49,USABILITY_115-20\request_2024-07-16_15-01-49.json,USABILITY_115-20\response_2024-07-16_15-01-49.json,0.31093311309814453
2024-07-16_15-01-50,USABILITY_115-20\request_2024-07-16_15-01-50.json,USABILITY_115-20\response_2024-07-16_15-01-50.json,0.28980422019958496
2024-07-16_15-01-51,USABILITY_115-20\request_2024-07-16_15-01-51.json,USABILITY_115-20\response_2024-07-16_15-01-51.json,0.3137805461883545
2024-07-16_15-01-52,USABILITY_115-20\request_2024-07-16_15-01-52.json,USABILITY_115-20\response_2024-07-16_15-01-52.json,0.3066294193267822
2024-07-16_15-01-54,USABILITY_115-20\request_2024-07-16_15-01-54.json,USABILITY_115-20\response_2024-07-16_15-01-54.json,0.3366818428039551
2024-07-16_15-01-55,USABILITY_115-20\request_2024-07-16_15-01-55.json,USABILITY_115-20\response_2024-07-16_15-01-55.json,0.30077028274536133
2024-07-16_15-01-56,USABILITY_115-20\request_2024-07-16_15-01-56.json,USABILITY_115-20\response_2024-07-16_15-01-56.json,0.2944822311401367
2024-07-16_15-01-57,USABILITY_115-20\request_2024-07-16_15-01-57.json,USABILITY_115-20\response_2024-07-16_15-01-57.json,0.30971693992614746
2024-07-16_15-01-58,USABILITY_115-20\request_2024-07-16_15-01-58.json,USABILITY_115-20\response_2024-07-16_15-01-58.json,0.3112978935241699
2024-07-16_15-01-59,USABILITY_115-20\request_2024-07-16_15-01-59.json,USABILITY_115-20\response_2024-07-16_15-01-59.json,0.342606782913208
2024-07-16_15-02-01,USABILITY_115-20\request_2024-07-16_15-02-01.json,USABILITY_115-20\response_2024-07-16_15-02-01.json,0.3157308101654053
2024-07-16_15-02-02,USABILITY_115-20\request_2024-07-16_15-02-02.json,USABILITY_115-20\response_2024-07-16_15-02-02.json,0.3729102611541748
2024-07-16_15-02-03,USABILITY_115-20\request_2024-07-16_15-02-03.json,USABILITY_115-20\response_2024-07-16_15-02-03.json,0.3797907829284668
2024-07-16_15-02-04,USABILITY_115-20\request_2024-07-16_15-02-04.json,USABILITY_115-20\response_2024-07-16_15-02-04.json,0.30071187019348145
2024-07-16_15-02-05,USABILITY_115-20\request_2024-07-16_15-02-05.json,USABILITY_115-20\response_2024-07-16_15-02-05.json,0.2962684631347656
2024-07-16_15-02-07,USABILITY_115-20\request_2024-07-16_15-02-07.json,USABILITY_115-20\response_2024-07-16_15-02-07.json,0.30300164222717285
2024-07-16_15-02-08,USABILITY_115-20\request_2024-07-16_15-02-08.json,USABILITY_115-20\response_2024-07-16_15-02-08.json,0.37505626678466797
2024-07-16_15-02-09,USABILITY_115-20\request_2024-07-16_15-02-09.json,USABILITY_115-20\response_2024-07-16_15-02-09.json,0.3057591915130615
2024-07-16_15-02-10,USABILITY_115-20\request_2024-07-16_15-02-10.json,USABILITY_115-20\response_2024-07-16_15-02-10.json,0.3240065574645996
2024-07-16_15-02-11,USABILITY_115-20\request_2024-07-16_15-02-11.json,USABILITY_115-20\response_2024-07-16_15-02-11.json,0.3027358055114746
2024-07-16_15-02-12,USABILITY_115-20\request_2024-07-16_15-02-12.json,USABILITY_115-20\response_2024-07-16_15-02-12.json,0.358548641204834
